"","PanCK+Vim+MUC1+","PanCK+Vim+MUC1-","PanCK+Vim-MUC1+","PanCK+Vim-MUC1-","PanCK-Vim-MUC1-","PanCK-Vim+MUC1+","PanCK-Vim+MUC1-","PanCK-Vim-MUC1+","aSMA+CD90+PDGFRb+PDPN+CAV1+","aSMA+CD90+PDGFRb-PDPN+CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90-PDGFRb-PDPN-CAV1-","CD90+PDGFRb-PDPN-CAV1-","CD90-PDGFRb+PDPN-CAV1-","CD90-PDGFRb-PDPN+CAV1-","CD90-PDGFRb-PDPN-CAV1+"
"PanCK+Vim+MUC1+",235.066666666667,38.1796178343949,274.244444444444,35.6403270702853,14.7575485799701,0,13.9810893246187,68.5611111111111,15.8217948717949,0,2.7984126984127,5.70023094688222,8.72155477031802,10.880501865039,0,0,0,0
"PanCK+Vim+MUC1-",32.9392781316348,29.8723896801951,24.9539985845718,27.2117103041102,14.3387578189712,3.11924982307148,11.9705799092461,4.67887473460722,13.0648579127879,0,11.7067355604662,14.6266162604257,4.14650806869078,15.8129782739696,13.1501005698961,0,13.4751592356688,12.0313921747043
"PanCK+Vim-MUC1+",274.244444444444,22.4585987261147,0,22.1857457666435,30.7448928749377,152.358024691358,12.5471314451707,0,26.3696581196581,0,4.66402116402116,6.33358994098024,9.69061641146447,18.8316378433367,0,0,0,39.1777777777778
"PanCK+Vim-MUC1-",33.0639178844816,27.5487065010704,23.6170842032011,33.5067732493173,13.3297403503188,6.4410229645094,10.5161276897676,6.97777487821851,10.7763268829292,0,6.22194055075057,13.5365609646733,3.66432755224739,15.0836570338765,17.458562245907,0,13.955549756437,9.7535490605428
"PanCK-Vim-MUC1-",12.9128550074738,14.1247465082403,33.8193821624315,13.1275557729575,62.7403083589459,30.7448928749377,40.9449632169759,32.2821375186846,28.7346498792687,0,16.941063420884,15.4008481860831,25.714898033561,16.0026698265126,19.6605499173944,0,11.9905082212257,30.0421524663677
"PanCK-Vim+MUC1+",0,1.87154989384289,152.358024691358,7.15669218278822,33.8193821624315,342.805555555556,37.641394335512,342.805555555556,184.587606837607,0,18.6560846560847,0,43.6077738515901,13.2518932971629,0,0,91.4148148148148,0
"PanCK-Vim+MUC1-",15.0565577342048,11.7210399234004,14.3395787944808,10.0025297801793,40.2215539728597,37.641394335512,69.5324111145331,29.5753812636166,20.7854952237305,0,26.8318394024276,17.2124620748992,25.5376244255064,13.4077979241883,15.2829721362229,0,11.8301525054466,32.2640522875817
"PanCK-Vim-MUC1+",0,5.14676220806794,0,6.4410229645094,34.5880044843049,342.805555555556,33.6083877995643,747.939393939394,158.217948717949,0,13.9920634920635,7.12528868360277,36.3398115429918,8.89271787046456,0,0,0,0
"aSMA+CD90+PDGFRb+PDPN+CAV1+",15.8217948717949,11.0133512983831,26.3696581196581,8.17514453187731,30.3310193170059,158.217948717949,22.9571141277024,158.217948717949,311.782428355958,0,30.6749084249084,16.9910730147451,32.7058303886926,13.0372877376947,0,0,7.91089743589744,27.1230769230769
"aSMA+CD90+PDGFRb-PDPN+CAV1+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aSMA+CD90+PDGFRb-PDPN-CAV1+",2.7984126984127,10.5035963429958,4.66402116402116,5.47706034397057,15.8116591928251,13.9920634920635,25.2954559601618,13.9920634920635,33.9038461538462,0,115.900130017877,33.3482898933245,19.8756520275955,13.4084677614688,24.3020050125313,0,25.1857142857143,35.9795918367347
"aSMA+CD90+PDGFRb-PDPN-CAV1-",5.70023094688222,13.3558641385093,9.50038491147036,12.5101623860333,15.7842717923756,0,16.8026415493064,9.50038491147036,18.0872712737609,0,34.0268888155724,47.6338743477889,6.34478002921519,17.4689173219559,30.7512458976541,0,14.2505773672055,13.8434180138568
"aSMA+CD90-PDGFRb-PDPN-CAV1+",8.72155477031802,4.24570682631496,9.69061641146447,4.05124412608718,25.5193474781727,43.6077738515901,26.734700570452,39.9737926972909,38.5761076379451,0,22.100538448595,7.04975558801688,152.781845976493,12.5544252288911,21.8038869257951,0,30.5254416961131,43.6077738515901
"aSMA+CD90-PDGFRb-PDPN-CAV1-",8.7880976602238,15.0533156008838,16.0417655702498,13.7469645773558,15.6789570683685,13.9493613654346,13.2518932971629,9.93891997287216,13.3994346192973,0,14.048999660902,17.4689173219559,11.8889963298333,26.5942977176893,11.7284762006746,0,18.4131570023737,8.4293997965412
"CD90+PDGFRb-PDPN-CAV1-",0,13.1501005698961,0,16.4415586199319,16.7478758555582,0,16.1320261437908,0,0,0,28.7205513784461,32.2513066731494,13.7708759531337,12.0588558119612,70.2190611664296,0,10.8254385964912,64.9526315789474
"CD90-PDGFRb+PDPN-CAV1-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD90-PDGFRb-PDPN+CAV1-",0,11.7907643312102,0,12.2379436325679,11.9905082212257,137.122222222222,9.67921568627451,0,7.91089743589744,0,22.3873015873016,14.2505773672055,27.6182567726737,17.3669548999661,10.8254385964912,0,198.590804597701,23.5066666666667
"CD90-PDGFRb-PDPN-CAV1+",0,12.5126478616924,39.1777777777778,9.7535490605428,27.670403587444,0,33.6467973856209,0,20.3423076923077,0,38.378231292517,15.4720554272517,39.869964664311,8.96744659206511,83.5105263157895,0,11.7533333333333,155.558823529412
